"A"	"B"	"type"
"BCR"	"HOXA9"	"Phenotypic Enhancement"
"ATM"	"TP53"	"Phenotypic Enhancement"
"NCOR1"	"AR"	"Phenotypic Suppression"
"CTNNB1"	"CREBBP"	"Phenotypic Enhancement"
"BRCA1"	"CREB1"	"Phenotypic Enhancement"
"AR"	"TP53"	"Phenotypic Suppression"
"BRCA1"	"LMO4"	"Phenotypic Suppression"
"EP300"	"ETS1"	"Phenotypic Enhancement"
"EP300"	"ETS2"	"Phenotypic Enhancement"
"TP53"	"EP300"	"Phenotypic Suppression"
"ELK1"	"EP300"	"Phenotypic Enhancement"
"EP300"	"TWIST1"	"Phenotypic Suppression"
"KAT2B"	"TWIST1"	"Phenotypic Suppression"
"YWHAQ"	"NRIP1"	"Phenotypic Suppression"
"MSX1"	"CREBBP"	"Phenotypic Suppression"
"MSX1"	"TBP"	"Phenotypic Suppression"
"MSX1"	"SP1"	"Phenotypic Suppression"
"TCF3"	"KAT2B"	"Phenotypic Enhancement"
"TCF3"	"EP300"	"Phenotypic Enhancement"
"TCF3"	"CREBBP"	"Phenotypic Enhancement"
"RELA"	"CREBBP"	"Phenotypic Enhancement"
"MECOM"	"CTBP1"	"Phenotypic Enhancement"
"MECOM"	"CTBP1"	"Phenotypic Suppression"
"TP53"	"CREBBP"	"Phenotypic Suppression"
"CITED1"	"HSPA8"	"Phenotypic Suppression"
"AR"	"CREBBP"	"Phenotypic Suppression"
"RELA"	"CREBBP"	"Phenotypic Suppression"
"STAT1"	"CREBBP"	"Phenotypic Enhancement"
"STAT6"	"NCOA1"	"Phenotypic Enhancement"
"ONECUT1"	"KAT2B"	"Phenotypic Enhancement"
"CREBBP"	"HNF4A"	"Phenotypic Enhancement"
"SMARCA4"	"CREBBP"	"Phenotypic Enhancement"
"SMARCA4"	"NCOA1"	"Phenotypic Enhancement"
"MYBL2"	"CREBBP"	"Phenotypic Enhancement"
"MYB"	"CREBBP"	"Phenotypic Enhancement"
"EP300"	"TRERF1"	"Phenotypic Enhancement"
"NEUROG1"	"CREBBP"	"Phenotypic Suppression"
